name,city,state,description,type
Report 11030: Cavers hears possilble vocalization on Pigeon Mountain,Cornfield sink 2000' SSW of the Blue Hole 3 miles NE of Rocky Lane,GA,Two friends of mine and myself were pushing a cave lead in Cornfield Sink on the east side of Pigeon Mountain. We came out of the lead at about 3:00AM and started gathering our caving gear together for the 1/2 mile walk to the car. As we are about to leave the strangest call I have ever heard came from the opposite side of the sink from us. Distance would have been about 900'. The three of us have been woodsmen all our lives but none of us had ever heard a call like that. It sounded like four different animals in one. All powered by what must have been an enormous set of lungs! Hearing the vocalization the three of us looked at each other saucer eyed not saying a word. Each of us was hoping the others would pipe up with a logical explanation for what we had heard. Needless to say since we had been planning to leave anyway we beat a hasty retreat to the vehicles.,Bigfoot
Report 511: Daylight sighting by duck hunter near Pella.,Public Hunting Access about 3 miles south of Pella  IA in Marion County.,IA,Yesterday  October 24 my husband took our son duck hunting.  They were at a public access huntiong area in Marion county outside of the town of Pella.  My husband saw a crane and he was watching it fly away and pointing it out to our son when he saw something run across the trail about 40 yards away.  He said it was solid white and tall.  It was on two legs and very fast.  He said the weirdest thing was how fast and quiet it was  almost as if it couldn't have been there because it didn't make sense.  He said he got a weird feeling because it was just so odd and he had our son sit down and he loaded his gun and went to see if he could see anything at all of it or foot prints to indicate what it was.  However it was gone and there were no prints as there are leaves all over the place.  I told him it sounded like bigfoot stories my dad read to me as a child and my husband said he doesn't believe in bigfoot but it was just too fast to see its features.  Just two legs and running upright.  It was too fast for a man and so quite with the leaves and all.  My husband said he doesn't want to look like an idiot and hear the jokes so he is not going to ask around about it and he isn't sure he would say it was a sasquatch because he has never thought they existed but he cant think of anything else that does exist that it looked like unless a super fast man in a big white hairy suit  with the grace and quiet of a ballet dancer was running through the woods.  Are there any authentic sasquatch reports of a white one?  I don't know a lot about it but my husband is not one to get scared outdoors or to make up things.  So  I know he saw something strange.  Please mail me as to whether or not they are all white in color.,Bigfoot
Report 51678: Multiple sightings on family property near Cascade,well if you can find the Fillmore golf course or the Fillmore Bar and Grill u can find Simon road,IA,Well in total I've had 5 encounters the first one being about a year ago I was bow hunting and this big hairy man like thing just came up and sat right under my tree stand I was thinking about shooting him but I didn't want to scare him out of the country so I sat there quiet as possible then he just got up and trotted off. The second encounter was 5 months ago I was riding on my four wheeler and I went past a big patch of woods and he just stood there and watched me. The third encounter was 2 months ago I was driving home from work and he was retreating into the woods by a telephone pole. The fourth encounter was about 5 days after the third encounter and the bigfoot was walking through one of our old knocked down barns and I was out on my porch just watching him and he looked at me then he ran off and hurdled a five foot barbwire fence. The last encounter was just about three days ago and he was goin down a trail in our woods,Bigfoot
Report 44740: Memory told of being chased off by frightening thumps and scream while hiking in Pikes Peak State Park,,IA,This is an old report  but recently after watching the better bigfoot programs on tv  it dawned on me that what we had experienced was a bigfoot. Every September  my husband I would go hiking to see the color.  This trip was in September  1970 to Pikes Peak State Park located on the highest bluff on the Mississippi River in Iowa. September is a time when the kids are back in school.  There was only one other car in the parking lot so the trails were deserted. Pikes Peak had several walking trails.  We decided to take the longest which led to the overlook on the Mississippi.  We had hiked almost to the point of the overlook.  Fall had us crunching on the fallen leaves when we heard a large thump  thump  thump from behind the trees followed by a loud animal scream that we had never experienced before.  Having hiked in the woods almost weekly  we learned to identify most of the animal sounds around us.  This was not an identifiable animal. The screech scared us so badly that we immediately turned around and ran as fast as we could all the way back to the rangers station.  Having reached the station we immediately inquired about the animal we had encountered.  We explained in great detail what had happened  but the rangers said they had no clue what we had encountered and that nothing similar had ever been reported. To this day I am still haunted by the sound of the footsteps and the screech.  Until the bigfoot programs I had never considered that what we had encountered could be a bigfoot.  Now I'm 90% sure of my identification. I also noticed that there were no other sightings in the same area.  Perhaps we were just at the right time and the right place  but I know what we experienced. Although late  previously I was unaware of any reporting sites to relay our experience. I am excited to hear your thoughts.,Bigfoot
Report 3049: Atv riders hear daytime vocalization and find tracks near Keokuk,Grandparents property.  Request location not be listed  but will gladly show area to a researcher.,IA,This incident involved hearing and smelling what my brothers and I can only describe as Bigfoot.  It happened on my Grandparents property when I was approx. 14 years old.  Our Grandparents had given all three of us 3-wheelers for Christmas the following year.  It had to be sometime between February and July of 1985 (Est. year  can not recall exact date).  My brothers (at the time ages 12 and 9)  were all on our 3-wheelers down by the creek behind my Grandparents home.  We had just gotten off of the ATV's and were going to cut through the woods to go up to my Grandmothers antique store  when we smelled something so putrid  it reminded us of sewage.  I remember telling my brothers that something really stank at about the time they smelled the odor.  Seconds later  we all heard a very loud  gutterral roar.  We froze in terror  looking at one another for what may have been only seconds  but seemed like several minutes.  Then we all raced up the hill to our Grandparents house  leaving our ATV's down by the creek.  We told our Grandparents and parents what we had smelled and heard  and we went back down to the creek with our Father and Grandfather  but could not find anything.  The odor was still in the air  and my Father and Grandfather could both smell it.  We took our ATV's back up to the house  and went home shortly after that.  That evening  it rained  and the next day  our eperience still racing in our minds  we went back to the creek to look for footprints.  We did not find any down there  but while riding on another section of the property  we found what appeared to be very large footprints  resembling a human foot  only much longer and wider and deeper.  The prints were located in a new driveway at the front of my Grandparents property.  The drive was made of black cinders  and the prints were very noticeable.  We returned to the house  and got a ruler and our Mom  who went with us to see the prints.  Frankly  she was amazed.  I imagine she was quite suprised to see actual prints  and if she had any doubts about the story we told the day before  they vanished when she took us to the local Jacks store to get Plaster of Paris to make plaster casts of the prints.  Unfortunately  the casts did not set up well in the black cinder  probably due to how hot the cinders got in the sun  and when we tried to remove the plaster casts  the casts crumbled.  We had measured the prints prior to the casting  and they measured 13 inches long by 8 inches wide by 2.5 inches deep.  My Grandpa  whom at the time weighed roughly 250 lbs.  could not even leave a print in the cinders.  We guessed that whatever made the tracks must have weighed around 400 to 600 lbs.  We never mentioned it to anyone outside the family  mostly because we were afraid of skepticism.  When one of my brothers  who is now 28 and a Deputy Sheriff  got hooked up to the internet recently  showed me your site  I decided to report our incident.,Bigfoot
Report 5072: Witness reports seeing footprints as a child,,IA,"This happened when I was very young. I figured it would have been reported. I was aproxametley 6 years old and was helping my mother cut some weeds out of the feild before my father combined and we discoverd some very large footprints heading from the end of the field towards the house. We stopped my father who was in the combine and showed the tracks to him witch looked very human like. But upon comparison to his foot was very large  and the stride it had taken was very large un reproducable for my father who was 5-11"" . My parents reported it to the sheriffs department and they came and investigated the tracks. Many of the locals and others came and looked at the tracks also. All I know is that it scared me to death and had many a nightmares about it and my father went and bought a big gun in case it came back.",Bigfoot
Report 57784: Traveler sleeping at rest stop near Malad City awakened by possible wood knocks,"A few miles south from Malad City  Idaho on I-15 is a rest stop the ""Cherry Creek"" rest stop on the mountain side of the freeway. My report is from that rest stop",ID,"While traveling from Herriman UT to Rexburg Idaho  I stopped for the night at the Cherry Creek rest stop off I-15 just before Malad Idaho. I parked in the ""Truck"" area as close to the mountain and as far from the restrooms as I could. I fell asleep in my pickup camper shell approximately 10:00 pm At 11:00 pm something woke me up  I sat up and looked around and saw nothing out of order  I could see very well due to the rest stop lights  I saw one big rig parked in the truck area and no cars at all. The truck may have awakened me when he pulled in. I laid back down and few minutes later I heard brush breaking a couple of hundred yards up the hill  I thought it must be a bear or an elk. Ignoring the breaking brush I tried to go back to sleep then while still awake I heard a clear distinctive wood knock  very clear like a bat on an oak tree. I listened for another half hour or so and heard occasional brush breaking  I then fell asleep. I was then awakened at approximately 3:00 am by breaking brush that sounded much closer than before  followed by one clear knock from uphill and north of me 10 seconds or so later another clear knock further up the hill but to the south (two separate locations) I got up a little freaked out and drove north to Malad  Idaho",Bigfoot
Report 15206: Possible tracks found on Buckles Mountain,Buckles Mountain east of Garwood  Idaho,ID,"While out deer huntning myself and my wife found a set of tracks alongside Forest service road 2302. This road starts on Forest service road 406 and travels for approximately 1.5 miles before dead-ending on a hilltop. The tracks were approximately .75 miles up the road just past a clearing. These tracks were about 16"" long and 7"" wide. The toe prints were clearly visable. It had rained earlier that morning and had light showers intermittently throughout the morning. The tracks had no water puddling in them and appeared to be fairly fresh. I have been a avid hunter for many years and can distinguish between fresh and old tracks. I never have been a believer in the Bigfoot stories and legends but have since changed my attitude. I didn't really believe what I had found until I took my wife up and showed her. She agreed that they could  in fact  be Bigfoot prints.",Bigfoot
Report 71863: Elk hunters hear loud wood knocks from multiple directions in remote forest 40 miles east of Boise,43.71597  -115.39289.  It is 2.5 hours from the nearest gas station in Idaho City so very remote.,ID,"While mule deer hunting in Idaho  I road my atv to the snow line on road 255 southwest of Atlanta. I passed a truck with Alaska plates. It was parked on the side of the road with no one around just where the snow started. I was forced to turn around due to deep snow about a mile from the truck up hill from it.  I observed many large elk tracks in the snow so I decided to move down in elevation to glass the timber strips.  Elk season started in 3 days so I want to see if any were in this area. Once at the location about a half mile down hill past the truck  I parked on the side of the road. About 5 minutes into my search I heard a knock to my right about level with me about 300 yards away (guess). Very loud and solid.  I first thought it was two trees hitting each other from wind. The wind was light though.  About 5 minutes later it happened again but the knock sounded different and a bit lower. Within 10 minutes the Alaska truck drove by me with just a driver.  He headed down elevation from me. I continued to glass this area without a sound for a good 5 minutes. I heard a vehicle coming up the hill and that person stopped to talk to me.  He was a friend of mine from my old home town in California.  Small world.  I knew he liked this area and was happy to see him.  We started to compare our hunting apps on our phones. Come to find out he was camped about 1.5 miles from my camp. We talked for a few minutes and then a loud knock like I heard before.  A bit closer and near level to us.  He stopped mid sentence for a second and turned to the direction of the sound but kept talking. A truck came by with a family in it and stopped to talk. I told him the snow situation and he headed up.  He returned within 5 minutes and headed down the road to lower elevation. We heard 1 more knock lower and like further away (not as loud) after the truck passed us.  My friend said  ""What the hell is that??""   I joked  ""Bigfoot!""  He immediately said it is someone splitting wood. When we heard 3 more in the next 20 minutes I told him that wood cutter sure takes his time between splits. Then it happened....a knock behind us with a different tone and it seemed farther away..  Then another below and to our right but not as loud as the other knocks. Things went quiet for 10 minutes. We said see you later.  He headed up the road toward the snow line. It didn't take long and he was back and drove by me with a wave.  I have not talked to him since then. Within 5 minutes of him driving by me I heard 3 distinct quick clacks or knocks directly behind me up the hill. Like rock not wood. Then 1 faint wood knock below me.  I stayed for about 15 minutes in silence  then left. ",Bigfoot
Report 12158: Young boy views bigfoot through window,Pine Lakes ranch  approx 5 miles north of Cascade about 2 miles off of Hwy 55,ID,"When I was 8 years old while living in a forested portion of central Idaho  my little brother and I got up on a snowy February morning at dawn to watch cartoons. It was to early and only a test pattern was on the TV. We turned off the TV and my brother went back upstairs to bed. I opted to stay on the couch in my warm blankets and wait untill the cartoons started. The couch was positioned along an outside wall beneath a row of 3' wide x 5' tall picture windows. These windows were approximately  7 feet from the ground on the outside. The 19"" TV was sitting on top of a tall wood storage box next to the wood stove directly across from the couch. I could see the reflection of the windows in the darkened TV screen. I dozed off for a while and was awakened by a noise which I thought was the snow sliding off the metal roof. I noticed a shadow shape in the window reflection nearest the stairs and at first thought it was a snow bank created by the snow off the roof. Then I saw the shadow move on to the next window and then it stopped at the window just past the head of the couch. I listened and heard some movement outside and also a sort of grunting noise. My heart started to race as I watched the mirrored reflection in the TV screen. Curiosity got the better of me and I sat up on my knees on the couch  leaned over the armrest  and looked out the window. I will never forget what I saw! There  just a few feet away was a sasquatch peering in the window. It was scanning the room with obvious curiosity. After a couple of seconds it sensed my movement and looked directly into my eyes. The face looked like a gorilla but with longer hair and ""smarter eyes"". It was not like the dark black eyes you see on other forest animals. Terrified  I dove off the couch and scurried on my hands and knees toward the bottom of the staircase. I tried to call out for my mom but my voice didn't work. I was afraid the bigfoot would hear me. Finally  I gave out a few meager calls and my mom finally appeared on the balcony above the room. ""What's the matter?"" she said. ""There is a bigfoot outside."" I whispered. At that point I started to cry and shake. Sensing that something had terrified me   she said ""Well get up here then."" I was still afraid to move. She said she couldn't see anything outsde from up there  so I flew up the stairs using my hands and feet. My mom knew I wasn't joking around and she wouldn't let my brother and I outside to play in the snow untill later in the afternoon. My brother saw the holes in the snow where I thought the animal stood but snow had partially filled them and he wouldn't believe my story. Years later  a friend of my moms  who knew about my sighting  gave her an old local newspaper with a story in it about multiple bigfoot sightings occuring with in a 30 mile radius of home during that 1979 time period.",Bigfoot
Report 6983: Hunter has early morning sighting near Challis,Just north of Challis  Idaho and south of the Salmon River Wilderness.,ID,We were on a hunting trip with about 10 people near Challis  Idaho  south of the Salmon River Wilderness  in October 1975. We had stopped our trucks on a dirt road on our way back to camp following our morning hunt to “work” these hillsides that converged at a stream near the road. To our knowledge  there were no other hunters in that area. Four of us went up into the hills to make a giant circle to try to scare up some game and drive them back down towards the stream where the others were waiting. Being young  I volunteered to be a hiker. As we split up  I thought three of them went up the backside of one hill while I circled the other. As I came over the ridge  I found myself on a very steep  shale-covered slope about 500 feet above the stream. As I was scared of sliding all the way to the bottom on my butt  I sat down to watch the opposite slope while my dad and the other 2 worked that hill. As I sat there  I saw what I thought was one of our hunting party walk across the slope  about 100 feet below the ridgeline. He crossed the hillside  near the ridgeline  on the hill across a large ravine from me. That hill was taller than the one I was on. I remember thinking  “boy  he is going to get shot  dressed in dark clothing like that!” It kind of made me mad because he was walking a rather brisk pace  not even stopping to look around for game. I watched him through my riflescope  and for the life of me  I couldn't see any rifle in his hands. My dad had brought along one of our neighbors who had very little experience hunting  and I figured it was that guy. After about 30 minutes  I saw my dad and his other buddy come into view. They were much lower on the slope and I estimated their range to be about 400 yards  but seemed to be smaller in comparison to the other figure I had seen earlier. We waved at each other to work our way back towards the others. When we got back to the trucks  the neighbor  of course  was late in arriving. While waiting for him  dad was joking about seeing him walking along the ridge with his rifle still in it's zippered case  as is was raining lightly. I told him that I thought I had seen him  but saw no rifle and almost shot at him as he was dressed in dark clothing. Dad said “He had an orange vest and orange cap on  and how did you see him when he was above and behind you?” I said  “No  he was above and behind you.” When the neighbor with the clean and dry rifle returned  he confirmed my dad's report. So I said  “Well then  who was that I saw?” Everyone was too tired and wet to care. We went back to camp and forgot all about it  until the other day. Now I'm starting to wonder all over again. Since whoever/whatever I saw was probably 500 yards or so from me  I had trouble making out much detail. I had a variable 3 X 9 power scope. After I saw him I cranked the power all the way to 9 and watched him cross the open hillside without obstruction for probably a full minute or so until he disappeared behind the trees. I was watching his entire left profile. He walked rather quickly and did not turn to look at me  as far as I could tell. He did not appear to have much difficulty traversing the terrain  but when my dad walked across  it looked like he was having the same problem as I was with the steep slope and rocks that slide when you step on them. It took dad forever to cross the same amount of space as this other guy  and dad appeared to be much smaller  even though he was obviously somewhat closer to me. Dad was probably 50 feet or so lower in elevation than I was. As far as estimating height  my dad is 6ft tall  and this thing was much taller and broader...but not fat...kinda “lanky”. A really rough estimate would be at least 8ft. tall  with really long arms that he/she swung like a cross-country skier as he walked.  and taking rather long strides as well.,Bigfoot
Report 28714: Memory told of seeing a bigfoot on the side of a road along Middle Branch Creek,,IL,Years ago I had a strange experience as a kid. I was ten years old and I remember it was the summer time. My bedtime was 8:30 so I knew this had to have happened later in the evening as I was already in my pajamas. It was dark outside. My ex-brother-in-law had an old pick-up truck that he was always having problems with. He called my mom and asked if she could come get him as he had broken down. We got into the car  me in my pajamas and we headed out one of the country roads that is east of Norris. As we got nearer the creek (Middle Fork of Copperas Creek) and woods there is a curve in the road. After coming out of the curve the headlights shined onto something that was crouched down behind the fence and near a fencepost. We couldn't tell what it was but it's head did stick up above the four foot fence. It appeared to be watching my brother-in-law whose truck was just ahead of us. When we got to the truck we told him about it. He grabbed a rifle he had with him and strapped a flashlight onto it with some duct tape. I went with him as as he took off to see what this unusual creature was. He moved his flashlight back and forth near the fence and that is when it stood up. It was really tall and was on two feet. It immediately took off running into the woods that were close- by. In two or three steps it was gone.,Bigfoot
Report 24997: Hiker has nighttime sighting near Carlyle,,IL,While strolling through the timber on a warm fall night  I came up the slight incline from the river bank and heard a scream coming from due east. My immediate thought with respect to the sound was that it was a bobcat. I froze in my tracks and looked toward the sound in time to see whatever it was jump from about 6 or 8 feet up in a tree to the ground. It landed on its hind legs  took 3 or 4 steps  then went to all fours and ran faster than I have ever seen anything run into the treeline. When I saw that it was completely gone  I ran as fast as I could perpendicularly to the highway.,Bigfoot
Report 50208: Bus driver has afternoon sighting on U.S. 51 north of De Soto,I was driving south on hwy 51 what I saw was in the second set of trees just in the tree line. East side of bridge. Left side,IL,While driving my work van just as I was coming over the top of the hill (over pass) a tall dark figure passed in the tree line. It was walking too tall for a human. It was maybe 7 to 8 foot range because it was at the mid point of the trees. There isn't a rise there it's flat I checked because I drive this way 5 days a week twice a day. I watched it walk for several seconds until it disappeared into thicker tree growth. Was stopped due to bridge construction (flagman).,Bigfoot
Report 40995: Possible sighting of animal playing peek-a-boo at Argyle Lake State Park.,The following sighting occurred at Argyle Lake State Park,IL,"When the sighting happened we had come down into a bottom near a stream.  The main thing we first noticed was that the entire woods had gone silent.  Before we had heard bird calls and insects throughout the woods.  The silence was really unsettling and we felt like we were being watched.  We got a little unnerved and began to walk quicker towards where we had parked the car.  As we walked the road back we could hear something about 20-30 feet behind and off to the side of us moving through the brush and undergrowth.  Then at one point we had a rather nasty smell blow through the area  similar to a skunk or fox when they musk or spray.  At one point we know it crossed the road behind us and rather quickly because the noises changed which side of the road they were coming from.  At one point we were certain it was going to walk out into the open right in front of us but then all the sound stopped for a short period of time until we went down the next hill.  When we got ready to go around the last bend to where we had parked I took a look back and saw ""something"" squatting on a point next to a dead blackened tree which stood  around three to four feet tall.  The top of it came to right around the top of the dead tree and it was fairly wide.  The only thing I could misidentify it as was a black bear and they haven't been seen in our area for well over 50-100 years.  I caught a quick glance at it and then turned back around told my friend I saw something and to just keep walking quickly straight ahead and for the car.  Once we got around the bend we ran for the car  jumped in and took off.  Since then we've never really talked about it.",Bigfoot
Report 27692: Mushroom hunter hears vocalizations and finds footprints near Jubilee College State Park,,IL,"Well  I went out hunting with my Lab  I got a full-blooded Lab  my dog. And as usual I went out on a Wednesday. It was a nice sunny day out  nice weather  around 72 degrees  75 degrees  very good weather. I drove back into the area where I've been hunting every year for the last 20 years. And that's when I had an experience. The dog kept acting up. And I also noticed a kind of a stench smell and I thought maybe it was something dead. And I kept hearing something of more of like a grunt noise. So I kept hearing that and as I heard that I thought maybe somebody was playing jokes or something on me or playing a prank but then I realized there was nobody else I knew out there  there weren't any other vehicles so I went ahead and started looking around  for mushrooms. I walked maybe less than ten feet and I heard a few more grunt noises toward me and they seemed like they weren't that far off  I had that feeling that someone was watching me and as I stood there I heard it went from a grunt to  oh I would say  a loud more of a scream or yell. I have never heard nothing like that in my life before. And it proceeded twice after it did it the first time it did it again a few seconds later and then I heard three like movements in the trees  like cracking and the brush was moving and lo and behold here comes my Lab running back  with the hair all the way up from her neck and all the way down to her tail  and her tail all the way between her legs and her head down and she was looking towards the area where I had heard the noise. The dog was scared  I have never seen my dog ever act like that. That is when it kind of scared me because I thought if the dog is that scared what is it? Well then I ended up getting in the vehicle  it scared me and I still had that feeling I was being watched. I got in the vehicle and backed my truck all the way up the road that is along side a corn and soybean field I backed up and proceeded towards the back entrance where I came in and I parked it almost mile from where I was actually at when I had these experiences and I went on the opposite side of the corn field. As I went over there I thought I will hunt over here  it seems like it is more open  a lot of thickets and brush but not as thick as where I was at and it was quite away off and there was still plenty of daylight  sunshine. When I got out and walked down in there I looked across the creek and the water was probably no more than four or five inches deep. And there isn't really a lot traffic over there and when I walked I couldn't believe my eyes I seen footprints  actual footprints  and I knew it couldn't be human  a human wouldn't have walked in that area barefoot  for one there is too many thickets and he would have been crazy if he did and two it was so big Shaq couldn't have a foot that big. The first one I found was the right foot and the big toe you could see it very clear  and the other one was four feet away and it was the left foot. On it you could see the heel and the toes. Basically after that I came the next day. My son-in-law  who is an ex-police officer  wanted to go out. He was a non-believer and a skeptic and basically didn't believe me. He wanted me to prove to him I wasn't lying. So I said  ""I'll let you be the judge  maybe I'm making a mistake  maybe I didn't see what I seen."" We went out the next day and found other tracks that were in the same area from where I found the first set of tracks. So instead of finding two sets of footprints we found like six of them. They were all scattered in an area within fifty yards along the creek. That was on May 6th  which was a Thursday.",Bigfoot
Report 26587: Woman recalls afternoon sighting near the outskirts of Marion.,it was in a woods at the end of 12th street that is no longer there,IN,When I was a little girl before i'd heard of bigfoot   i saw in a small woods down from our house what i called a big white hairy thing. it was in the mid seventies....in INDIANA. I've never reported it to anyone other than my family who were witness to my subsequent hysteria. The big white hairy thing was a beige white color  with a cone head sloping back from it's brow ridge.Short hair over its entire visable body ecept for its hands and face longer hair like a cloak over its shoulders.It was june or july...summer time...it's face was brown like leather its eyes peircing black ...a broad flat nose... it was eating blackberries from the bushes...it must have felt me looking at him because it turned to look at me and when it saw I saw him he took two large steps into the wood and disappeared. That's when I screamed.Being only a small child no one really believed me or tried to tell me it must have been someone in a coat. I've never forgotten it. He didn't seem menacing at all but it really freaked my little self out.,Bigfoot
Report 19588: Nighttime sighting by motorists near Turkey Run State Park,About 3 to 4 miles south of the Turkey Run State Park & School on Hwy 41.,IN,"We were then living in Ohio. My husband had photography work to do and was being transferred to Indiana. In the fall of 1997 while driving south on Hwy 41 near Turkey Run State Park in IN  my husband and I saw what we affectionately call ""A something"". It was a misty night and we were headed for Terra Haute. I was driving my Ford Aerostar Van with my husband in the passenger seat (I was glad he was on that side) we also had our two year old son in the back seat. ""It"" was walking in the gully. ""It"" stood taller than the van so to speculate on the height I would say over 6"" easily. The body was black and hairy although the face was huge and long in the jaw shaped like a knight of a chess piece but not like a horse! My husband describes the face more like a lions shape. We passed it and continued our trip - and later even moved here with our child going to Turkey Run School. We travel the same road often from Turkey Run to Rockville and have never seen ""It"" again - YET!",Bigfoot
Report 24815: Man recalls his observation of a creature crossing a road while hunting in the Morgan-Monroe State Forest,Hindustan is the nearest village (only a few homes and small church) perhaps 3-4 miles away on Old 37. The town of Martinsville is about 5 miles to the north and the town of Bloomington is about 15 miles to the south. This incident took place in the Morgan-Monroe State Forest on the Main Forest Road about 1 or 1.5 miles east of the forest entrance that is off of the State Road Old 37.,IN,"This took place while on the last day of firearm deer season in Novemeber  1988.  It was after sunset but not yet dark.  The temperature was in the mid 30's but the ground wasn't frozen and there were still patches of snow on the ground in places.  I came out of the woods  put my shotgun  heavy winter coat  and daypack in the trunk of my car and got inside my car to start it up when a movement to my left caught my eye. I will tell you what I saw and what I thought as I was seeing this happen.  This man/bigfoot came out of thick brush between the trees to my left on the opposite side of the road from where I was parked  maybe thirty five or forty yards down the road at an angle but it had to know that I was there or at least that my car was there. When I first saw this thing coming out of the thick brush the first thing I thought was  where in the heck did he come from....  Then  I thought  stupid guy  no hunter orange and then I began to notice strange things like he had no gun  and that he was the same color from head to toe  no hat  no hunter orange?  But then what I really noticed was that his arms were long  his hands were swinging at his knees and though he was taking large steps crossing the road very quickly but without running  he was just walking.  His arms were swinging wide like a British soldier marching but he didn't seem to be in any hurry and he completely ignored me like I wasn't there but he had to know that I was there.  He did not look over and kept his head looking straight ahead. He went into the woods on my side of the road (side I was parked on) and went down the hill and disappeared.  My eyes told me that I just saw a bigfoot but my brain and common sense was trying to dispute that.  His color was dark brown and I thought could that have been a man in a one piece Carhartt outfit or if he were a hiker lost wouldn't he just have stayed on the road rather than go down a steep hill when it was almost dark or if lost why didn't he ask me for help?  He was about six feet tall but very husky with his hands  body  feet  side of his head-face  all one color.  I actually couldn't see fur because the light was dim.  I could see the trees and tree trunks fine but not the bark because the tree trunks were silhoutetted and that's what I mean about not seeing the fur  it was all one shade of dark brown.  Now  all of this that I just told you took place in a minute or less.  Soon as it disappeared over the side of the hill I jumped out of my car  opened the trunk and loaded my shotgun (for self-defense only)  put on my winter coat  and got my flashlight out of my day pack and walked to where I thought the thing went over the hill.  I wanted to check out what I just saw and was hoping to find a footprint in the ground or on a patch of snow and I went slowly back and forth  traversing this rather steep hill going a little deeper down as I moved back and forth.  There was a deep like gorge on the right side of the hill and I looked up towards the road and by now the ridge on top was just a slither of gray and looking over my shoulder I realized this was not too smart  it was pitch black below me and I got a little scared and hiked back up to the road and to my car as fast as I could.  I placed my shotgun back in the case along with my heavy coat putting them in the truck and then I drove up and down the main forest road to see if there were any cars parked off on the sides or if there were anyone walking  I saw nothing.  I drove to the valley road where I thought this thing would eventually come out at the bottom of the hill into farm fields and I drove back to the end of this valley and back hoping to see something but saw nothing.  I have been wanting to make a report of what I saw and have told my wife  children  teenage granddaughters  brother  and two close hunting buddies  but have always been hesitant to make a report.  The truth is  though I am sure what I saw wasn't a man I can't prove it wasn't a man dressed up in a suit but who would be that stupid especially during hunting season. I can't say positively that it was a bigfoot but that is what my eyes saw.  Logic says ""no""  my eyes say  ""yes"" and that's my report the best that I can remember it.  I am glad to get this off my chest.  If this helps in any way then that's great but please use only my first name if this is posted  I am not seeking notoriety here  thanks.  Sincerely  [name removed]",Bigfoot
Report 29032: Memory told of a mid-afternoon encounter along the Flatrock River,It was a small little campground along Flatrock River in a secluded part of northwestern Decatur County close to Rush and Shelby County.,IN,"This happened to me and a friend of mine. It was a clear spring day. We were at a campground where my parents camped in a secluded part of our county. It was a Wednesday  so most adults were at work. We pitched horseshoes and messed around while the dogs that hung around the campground all played. I had a .22 rifle of my brothers with some shells. My friend and I went down to river as it was traveling at a slow pace and I through in a pop can. We took target practice at the can. I had one shot left and the can was pretty far down the river when I noticed how quiet it was. I put the gun on safety and ask my friend when is the last time you ever heard complete silence in the woods. No birds  no nothing. The first noise we heard came from across the river. It kept getting louder and I told my friend that I was going to get the .22 shells that were on the picnic table up the bank by the horseshoe pit. I was halfway to the picnic table and I heard this loud noise and my friend hightailing it up the hill saying ""There it is!"" I froze in my tracks and my friend stood right behind me. There stood this Bigfoot with one foot in the water and one on the bank. It had rusty reddish-brown hair which hung down over its eyes like a sheep dog. We stood frozen and so did it for around five minutes. I told my friend to take a good look because for the rest of our lives people are going to laugh at us for what we are now witnessing. I had one shot still in the chamber. I took the safety off and told my friend to run to the car when I fire the gun. I first aimed the gun at the Bigfoot and it did not move. I debated for awhile then decided that this creature was not trying to hurt me so I shot up in the air. We ran to the car and drove straight home. I told my mom and she did not believe me at first. I  still to this day  want to take a lie detector so bad to prove to them and everyone that I did  in fact  have a loaded gun aimed at a Bigfoot and decided not to shoot. I still don't own a gun and I am fifty and I definitely do not hunt. The following Sunday was the Fathers' Day and my brother-in-law  who was nineteen went across the river in a rowboat to check things out. There were footprints everywhere. Only ""four"" toes. I wear a size thirteen shoe and I could put my foot in these prints with a couple of inches longer and wider to spare. My brother-in-law at the time  found a clump of hair that matched the description of what I saw stuck in the bark of a tree a couple of hundred yards into the woods by the cornfield. A tree had fell down and was stuck in an angle into another tree and it was about 7 foot up on the tree that was leaning. He put it in a plastic ziploc and to this day  I don't know what he ever did with that sample. I told this to an Amish man who does not live far from where this happerned in the mid-90's and he told me that one of the men in his congregation had also spotted this creature along the river around that same time. I am an honest  sensible man. I know what I saw and nothing will ever change my mind.",Bigfoot
